[1000.0, -900.0]
[927.792480791, -830.81854172]
[912.584284472, -731.981753201]
[996.724865168, -677.941373112]
[970.335977329, -581.486064297]
[932.495455394, -488.922059955]
[857.831990571, -422.398627838]
[772.661021854, -369.997233889]
[672.958182764, -362.293736159]
[600.280790595, -293.606061373]
[450.0, -450.0]
[450.0, -450.0]
[450.0, -350.0]
[450.0, -250.0]
[450.0, -150.0]
[450.0, -50.0]
[450.0, 50.0]
[450.0, 150.0]
[450.0, 250.0]
[450.0, 350.0]
[450.0, 450.0]
[350.0, 450.0]
[350.0, 350.0]
[350.0, 250.0]
[350.0, 150.0]
[350.0, 50.0]
[350.0, -50.0]
[350.0, -150.0]
[350.0, -250.0]
[350.0, -350.0]
[250.0, -350.0]
[250.0, -250.0]
[250.0, -150.0]
[250.0, -50.0]
[250.0, 50.0]
[250.0, 150.0]
[250.0, 250.0]
[250.0, 350.0]
[250.0, 450.0]
[150.0, 450.0]
[150.0, 350.0]
[150.0, 250.0]
[150.0, 150.0]
[150.0, 50.0]
[50.0, 50.0]
[50.0, 150.0]
[50.0, 250.0]
[50.0, 350.0]
[50.0, 450.0]
[-50.0, 450.0]
[-50.0, 350.0]
[-50.0, 250.0]
[-50.0, 150.0]
[-50.0, 50.0]
[-150.0, 50.0]
[-150.0, 150.0]
[-150.0, 250.0]
[-150.0, 350.0]
[-150.0, 450.0]
[-250.0, 450.0]
[-250.0, 350.0]
[-250.0, 250.0]
[-250.0, 150.0]
[-250.0, 50.0]
[-350.0, 50.0]
[-350.0, -50.0]
[-350.0, -150.0]
[-350.0, -250.0]
[-350.0, -350.0]
[-250.0, -350.0]
[-150.0, -350.0]
[-50.0, -350.0]
[50.0, -350.0]
[150.0, -350.0]
[150.0, -250.0]
[150.0, -150.0]
[50.0, -150.0]
[50.0, -250.0]
[-50.0, -250.0]
[-50.0, -150.0]
[-150.0, -150.0]
[-150.0, -250.0]
[-250.0, -250.0]
[-250.0, -150.0]
[-250.0, -250.0]
[-250.0, -350.0]
[-350.0, -350.0]
[-350.0, -350.0]
[-450.0, -350.0]
[-450.0, -250.0]
[-450.0, -150.0]
[-450.0, -50.0]
[-450.0, 50.0]
[-450.0, 150.0]
[-350.0, 150.0]
[-350.0, 250.0]
[-350.0, 350.0]
[-350.0, 450.0]
[-450.0, 450.0]
[-450.0, 350.0]
[-450.0, 250.0]
[-450.0, 250.0]
[-540.624296135, 207.724274694]
[-628.31756226, 159.662948492]
[-637.329760269, 60.0698750028]
[-678.71670408, -30.9637500042]
[-758.853107771, -90.7814464113]
[-810.439698201, -176.448381035]
[-843.440628242, -270.846149104]
[-906.788888114, -348.221842776]
[-909.34117742, -448.189266567]
[-877.000181898, -542.815161589]
[-928.648247254, -628.445047405]
[-911.618751061, -726.984360674]
[-813.273923342, -708.86545174]
[-600.0, -700.0]
[-600.0, -700.0]
[-605.725703393, -600.164052964]
[-513.18719295, -562.261228729]
[-417.448885669, -591.1433429]
[-317.558540819, -586.461569118]
[-232.377088449, -638.845919569]
[-139.156862247, -602.652143491]
[-106.327861897, -508.194445361]
[-9.91721423466, -534.746036977]
[79.2639534387, -579.986719249]
[131.564692504, -665.219533899]
[209.302512496, -728.122883117]
[308.696574618, -739.114717128]
[402.664950879, -773.319165126]
[463.219995098, -693.73847262]
[557.195739004, -727.922673026]
[800.0, -800.0]
