[-5001.78738543, 9526.70517723]
[-4252.73849659, 9245.76788507]
[-4072.05347041, 8466.43937839]
[-4231.16496044, 7682.42181881]
[-4315.11562372, 6886.83883373]
[-3720.72549772, 6351.39473944]
[-3499.60425214, 5582.56095068]
[-2783.0, 4819.0]
[-2783.0, 4819.0]
[-2783.0, 4219.0]
[-2783.0, 3619.0]
[-2783.0, 3019.0]
[-2783.0, 2419.0]
[-2783.0, 1819.0]
[-2783.0, 1219.0]
[-2783.0, 619.0]
[-2783.0, 19.0]
[-2783.0, -580.0]
[-2783.0, -1180.0]
[-2783.0, -1780.0]
[-2783.0, -2380.0]
[-2783.0, -2980.0]
[-2783.0, -3580.0]
[-2783.0, -4180.0]
[-2783.0, -4780.0]
[-2783.0, -5380.0]
[-2183.0, -5380.0]
[-2183.0, -4780.0]
[-2183.0, -4180.0]
[-2183.0, -3580.0]
[-2183.0, -2980.0]
[-2183.0, -2380.0]
[-2183.0, -1780.0]
[-2183.0, -1180.0]
[-2183.0, -580.0]
[-2183.0, 19.0]
[-2183.0, 619.0]
[-2183.0, 1219.0]
[-2183.0, 1819.0]
[-2183.0, 2419.0]
[-2183.0, 3019.0]
[-2183.0, 3619.0]
[-2183.0, 4219.0]
[-2183.0, 4819.0]
[-1583.0, 4819.0]
[-1583.0, 4219.0]
[-1583.0, 3619.0]
[-1583.0, 3019.0]
[-1583.0, 2419.0]
[-1583.0, 1819.0]
[-1583.0, 1219.0]
[-1583.0, 619.0]
[-1583.0, 19.0]
[-1583.0, -580.0]
[-1583.0, -1180.0]
[-1583.0, -1780.0]
[-1583.0, -2380.0]
[-1583.0, -2980.0]
[-1583.0, -3580.0]
[-1583.0, -4180.0]
[-1583.0, -4780.0]
[-1583.0, -5380.0]
[-983.0, -5380.0]
[-983.0, -4780.0]
[-983.0, -4180.0]
[-983.0, -3580.0]
[-983.0, -2980.0]
[-983.0, -2380.0]
[-983.0, -1780.0]
[-983.0, -1180.0]
[-983.0, -580.0]
[-983.0, 19.0]
[-983.0, 619.0]
[-983.0, 1219.0]
[-983.0, 1819.0]
[-983.0, 2419.0]
[-983.0, 3019.0]
[-983.0, 3619.0]
[-983.0, 4219.0]
[-983.0, 4819.0]
[-383.0, 4819.0]
[-383.0, 4219.0]
[-383.0, 3619.0]
[-383.0, 3019.0]
[-383.0, 2419.0]
[-383.0, 1819.0]
[-383.0, 1219.0]
[-383.0, 619.0]
[-383.0, 19.0]
[-383.0, -580.0]
[-383.0, -1180.0]
[-383.0, -1780.0]
[-383.0, -2380.0]
[-383.0, -2980.0]
[-383.0, -3580.0]
[-383.0, -4180.0]
[-383.0, -4780.0]
[-383.0, -5380.0]
[216.0, -5380.0]
[216.0, -4780.0]
[216.0, -4180.0]
[216.0, -3580.0]
[216.0, -2980.0]
[216.0, -2380.0]
[216.0, -1780.0]
[216.0, -1180.0]
[216.0, -580.0]
[216.0, 19.0]
[216.0, 619.0]
