[8661.33142055, 7367.35912817]
[8334.07677655, 7137.34956754]
[7946.58028199, 7038.1202034]
[7619.27384085, 6808.18435673]
[7335.33960526, 6526.43739603]
[7287.00424024, 6129.36851977]
[6983.93579383, 5868.31389563]
[6736.68816412, 5553.88010354]
[6359.86112585, 5419.71087002]
[6482.38201097, 5038.937141]
[6201.06369859, 4754.57820037]
[5878.73642163, 4517.71299287]
[5525.27134895, 4330.46331357]
[5531.23139724, 3930.50771875]
[5157.12470236, 3788.93024582]
[4792.20285878, 3625.12533723]
[4532.00490319, 3928.92958985]
[4224.61637558, 4184.88328311]
[3847.40617405, 4051.79510235]
[3539.21347477, 4306.77992565]
[3566.54158546, 4705.8453017]
[4121.0, 5566.0]
[4121.0, 5566.0]
[3621.0, 5566.0]
[3621.0, 5066.0]
[3621.0, 4566.0]
[3621.0, 4066.0]
[3621.0, 3566.0]
[3621.0, 3066.0]
[3621.0, 2566.0]
[3621.0, 2066.0]
[3621.0, 1566.0]
[3621.0, 1066.0]
[3621.0, 566.0]
[3621.0, 66.0]
[3621.0, -433.0]
[3621.0, -933.0]
[3621.0, -1433.0]
[3621.0, -1933.0]
[3621.0, -2433.0]
[3621.0, -2933.0]
[3621.0, -3433.0]
[3621.0, -3933.0]
[3621.0, -4433.0]
[3621.0, -4933.0]
[3621.0, -5433.0]
[3621.0, -5933.0]
[3621.0, -6433.0]
[3621.0, -6933.0]
[3621.0, -7433.0]
[3621.0, -7933.0]
[3621.0, -8433.0]
[3621.0, -8933.0]
[3621.0, -9433.0]
[3621.0, -9933.0]
[3621.0, -10433.0]
[3621.0, -10933.0]
[3621.0, -11433.0]
[3621.0, -11933.0]
[3621.0, -12433.0]
[3621.0, -12933.0]
[3621.0, -13433.0]
[3121.0, -13433.0]
[3121.0, -12933.0]
[3121.0, -12433.0]
[3121.0, -11933.0]
[3121.0, -11433.0]
[3121.0, -10933.0]
[3121.0, -10433.0]
[3121.0, -9933.0]
[3121.0, -9433.0]
[3121.0, -8933.0]
[3121.0, -8433.0]
[3121.0, -7933.0]
[3121.0, -7433.0]
[3121.0, -6933.0]
[3121.0, -6433.0]
[3121.0, -5933.0]
[3121.0, -5433.0]
[3121.0, -4933.0]
[3121.0, -4433.0]
[3121.0, -3933.0]
[3121.0, -3433.0]
[3121.0, -2933.0]
[3121.0, -2433.0]
[3121.0, -1933.0]
[3121.0, -1433.0]
[3121.0, -933.0]
[3121.0, -433.0]
[3121.0, 66.0]
[3121.0, 566.0]
[3121.0, 1066.0]
[3121.0, 1566.0]
[3121.0, 2066.0]
[3121.0, 2566.0]
[3121.0, 3066.0]
[3121.0, 3566.0]
[3121.0, 4066.0]
[3121.0, 4566.0]
[3121.0, 5066.0]
[3121.0, 5566.0]
[2621.0, 5566.0]
[2621.0, 5066.0]
[2621.0, 4566.0]
[2621.0, 4066.0]
[2621.0, 3566.0]
[2621.0, 3066.0]
[2621.0, 2566.0]
[2621.0, 2066.0]
[2621.0, 1566.0]
[2621.0, 1066.0]
[2621.0, 566.0]
[2621.0, 66.0]
[2621.0, -433.0]
[2621.0, -933.0]
[2621.0, -1433.0]
[2621.0, -1933.0]
[2621.0, -2433.0]
[2621.0, -2933.0]
[2621.0, -3433.0]
[2621.0, -3933.0]
[2621.0, -4433.0]
[2621.0, -4933.0]
[2621.0, -5433.0]
[2621.0, -5933.0]
[2621.0, -6433.0]
[2621.0, -6933.0]
[2621.0, -7433.0]
[2621.0, -7933.0]
