[8661.33142055, 7367.35912817]
[8475.01087436, 7013.40340485]
[8199.05455791, 6723.83802119]
[7799.11018048, 6730.50847526]
[7401.78823608, 6684.29946637]
[7013.69424229, 6587.43331139]
[6788.07415906, 6257.13711395]
[6514.59288576, 5965.23303183]
[6114.84187647, 5979.34439492]
[6021.18876596, 5590.46254282]
[5698.49792643, 5354.09287031]
[5510.59474959, 5000.97476523]
[5150.43923102, 4826.94027886]
[4774.33483604, 4963.12208409]
[3666.0, 4969.0]
[3666.0, 4969.0]
[3166.0, 4969.0]
[3166.0, 4469.0]
[3166.0, 3969.0]
[3166.0, 3469.0]
[3166.0, 2969.0]
[3166.0, 2469.0]
[3166.0, 1969.0]
[3166.0, 1469.0]
[3166.0, 969.0]
[3166.0, 469.0]
[3166.0, -30.0]
[3166.0, -530.0]
[3166.0, -1030.0]
[3166.0, -1530.0]
[3166.0, -2030.0]
[3166.0, -2530.0]
[3166.0, -3030.0]
[3166.0, -3530.0]
[3166.0, -4030.0]
[3166.0, -4530.0]
[3166.0, -5030.0]
[3166.0, -5530.0]
[2666.0, -5530.0]
[2666.0, -5030.0]
[2666.0, -4530.0]
[2666.0, -4030.0]
[2666.0, -3530.0]
[2666.0, -3030.0]
[2666.0, -2530.0]
[2666.0, -2030.0]
[2666.0, -1530.0]
[2666.0, -1030.0]
[2666.0, -530.0]
[2666.0, -30.0]
[2666.0, 469.0]
[2666.0, 969.0]
[2666.0, 1469.0]
[2666.0, 1969.0]
[2666.0, 2469.0]
[2666.0, 2969.0]
[2666.0, 3469.0]
[2666.0, 3969.0]
[2666.0, 4469.0]
[2666.0, 4969.0]
[2166.0, 4969.0]
[2166.0, 4469.0]
[2166.0, 3969.0]
[2166.0, 3469.0]
[2166.0, 2969.0]
[2166.0, 2469.0]
[2166.0, 1969.0]
[2166.0, 1469.0]
[2166.0, 969.0]
[2166.0, 469.0]
[2166.0, -30.0]
[2166.0, -530.0]
[2166.0, -1030.0]
[2166.0, -1530.0]
[2166.0, -2030.0]
[2166.0, -2530.0]
[2166.0, -3030.0]
[2166.0, -3530.0]
[2166.0, -4030.0]
[2166.0, -4530.0]
[2166.0, -5030.0]
[2166.0, -5530.0]
[1666.0, -5530.0]
[1666.0, -5030.0]
[1666.0, -4530.0]
[1666.0, -4030.0]
[1666.0, -3530.0]
[1666.0, -3030.0]
[1666.0, -2530.0]
[1666.0, -2030.0]
[1666.0, -1530.0]
[1666.0, -1030.0]
[1666.0, -530.0]
[1666.0, -30.0]
[1666.0, 469.0]
[1666.0, 969.0]
[1666.0, 1469.0]
[1666.0, 1969.0]
[1666.0, 2469.0]
[1666.0, 2969.0]
[1666.0, 3469.0]
[1666.0, 3969.0]
[1666.0, 4469.0]
[1666.0, 4969.0]
[1166.0, 4969.0]
[1166.0, 4469.0]
[1166.0, 3969.0]
[1166.0, 3469.0]
[1166.0, 2969.0]
[1166.0, 2469.0]
[1166.0, 1969.0]
[1166.0, 1469.0]
[1166.0, 969.0]
[1166.0, 469.0]
[1166.0, -30.0]
[1166.0, -530.0]
[1166.0, -1030.0]
[1166.0, -1530.0]
[1166.0, -2030.0]
[666.0, -2030.0]
[666.0, -1530.0]
[666.0, -1030.0]
[666.0, -530.0]
[666.0, -30.0]
[666.0, 469.0]
[666.0, 969.0]
[666.0, 1469.0]
[666.0, 1969.0]
[666.0, 2469.0]
[666.0, 2969.0]
[666.0, 3469.0]
[666.0, 3969.0]
[666.0, 4469.0]
[666.0, 4969.0]
[166.0, 4969.0]
[166.0, 4469.0]
[166.0, 3969.0]
[166.0, 3469.0]
[166.0, 2969.0]
[166.0, 2469.0]
[166.0, 1969.0]
[166.0, 1469.0]
[166.0, 969.0]
[166.0, 469.0]
[166.0, -30.0]
[166.0, -530.0]
[166.0, -1030.0]
[166.0, -1530.0]
[166.0, -2030.0]
[-333.0, -2030.0]
[-333.0, -1530.0]
[-333.0, -1030.0]
[-333.0, -530.0]
[-333.0, -30.0]
[-333.0, 469.0]
[-333.0, 969.0]
[-333.0, 1469.0]
[-333.0, 1969.0]
[-333.0, 2469.0]
[-333.0, 2969.0]
[-333.0, 3469.0]
[-333.0, 3969.0]
[-333.0, 4469.0]
[-333.0, 4969.0]
[-833.0, 4969.0]
[-833.0, 4469.0]
[-833.0, 3969.0]
[-833.0, 3469.0]
[-833.0, 2969.0]
[-833.0, 2469.0]
[-833.0, 1969.0]
[-833.0, 1469.0]
[-833.0, 969.0]
[-833.0, 469.0]
[-833.0, -30.0]
[-833.0, -530.0]
[-833.0, -1030.0]
[-833.0, -1530.0]
[-833.0, -2030.0]
[-1333.0, -2030.0]
[-1333.0, -1530.0]
[-1333.0, -1030.0]
[-1333.0, -530.0]
[-1333.0, -30.0]
[-1333.0, 469.0]
[-1333.0, 969.0]
[-1333.0, 1469.0]
[-1333.0, 1969.0]
[-1333.0, 2469.0]
[-1333.0, 2969.0]
[-1333.0, 3469.0]
[-1333.0, 3969.0]
[-1333.0, 4469.0]
[-1333.0, 4969.0]
[-1833.0, 4969.0]
[-1833.0, 4469.0]
[-1833.0, 3969.0]
[-1833.0, 3469.0]
[-1833.0, 2969.0]
[-1833.0, 2469.0]
[-1833.0, 1969.0]
[-1833.0, 1469.0]
[-1833.0, 969.0]
[-1833.0, 469.0]
[-1833.0, -30.0]
[-1833.0, -530.0]
[-1833.0, -1030.0]
[-1833.0, -1530.0]
[-1833.0, -2030.0]
[-2333.0, -2030.0]
[-2333.0, -1530.0]
[-2333.0, -1030.0]
[-2333.0, -530.0]
[-2333.0, -30.0]
[-2333.0, 469.0]
[-2333.0, 969.0]
[-2333.0, 1469.0]
[-2333.0, 1969.0]
[-2333.0, 2469.0]
[-2333.0, 2969.0]
[-2333.0, 3469.0]
[-2333.0, 3969.0]
[-2333.0, 4469.0]
[-2333.0, 4969.0]
[-2833.0, 4969.0]
[-2833.0, 4969.0]
[-2444.32869039, 5063.52308227]
[-2054.46981919, 5153.02202387]
[-1655.55969244, 5182.5298327]
[-1268.0290563, 5281.62577638]
[-883.784017664, 5392.78219896]
[-625.506101071, 5087.34396003]
[-238.422049309, 5188.17023077]
[36.5850771307, 4897.70322678]
[422.349305207, 5003.46692724]
[805.307430176, 5118.97915396]
[1130.31517267, 5352.15283883]
[1495.52480219, 5515.31510931]
[1796.50919751, 5778.76983744]
[2196.49134953, 5782.54847005]
[2558.10707531, 5611.56874357]
[2939.47990797, 5732.21186403]
[3002.10605875, 5337.14482511]
[3399.44151022, 5383.23754694]
[3796.3714779, 5333.77442174]
[4171.79946146, 5471.81003005]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[5191.11410127, 6450.0113925]
[5556.35726896, 6613.09857303]
[6377.77520053, 7252.70358574]
