[8661.33142055, 7367.35912817]
[8267.69546731, 7296.29059564]
[7869.23776369, 7331.38273756]
[7716.99385116, 6961.48844036]
[7389.06635935, 6732.43918776]
[7146.04517118, 6414.72752273]
[7212.56468846, 6020.2973593]
[6874.06578978, 5807.18120414]
[6632.98652439, 5487.99350418]
[6242.09656162, 5572.87599354]
[5928.57189886, 5324.47654538]
[5536.66920713, 5244.39983082]
[5338.41922788, 4896.9851712]
[4941.95155859, 4843.94379858]
[3666.0, 4969.0]
[3666.0, 4969.0]
[3166.0, 4969.0]
[3166.0, 4469.0]
[3166.0, 3969.0]
[3166.0, 3469.0]
[3166.0, 2969.0]
[3166.0, 2469.0]
[3166.0, 1969.0]
[3166.0, 1469.0]
[3166.0, 969.0]
[3166.0, 469.0]
[3166.0, -30.0]
[3166.0, -530.0]
[3166.0, -1030.0]
[3166.0, -1530.0]
[3166.0, -2030.0]
[3166.0, -2530.0]
[3166.0, -3030.0]
[3166.0, -3530.0]
[3166.0, -4030.0]
[3166.0, -4530.0]
[3166.0, -5030.0]
[3166.0, -5530.0]
[2666.0, -5530.0]
[2666.0, -5030.0]
[2666.0, -4530.0]
[2666.0, -4030.0]
[2666.0, -3530.0]
[2666.0, -3030.0]
[2666.0, -2530.0]
[2666.0, -2030.0]
[2666.0, -1530.0]
[2666.0, -1030.0]
[2666.0, -530.0]
[2666.0, -30.0]
[2666.0, 469.0]
[2666.0, 969.0]
[2666.0, 1469.0]
[2666.0, 1969.0]
[2666.0, 2469.0]
[2666.0, 2969.0]
[2666.0, 3469.0]
[2666.0, 3969.0]
[2666.0, 4469.0]
[2666.0, 4969.0]
[2166.0, 4969.0]
[2166.0, 4469.0]
[2166.0, 3969.0]
[2166.0, 3469.0]
[2166.0, 2969.0]
[2166.0, 2469.0]
[2166.0, 1969.0]
[2166.0, 1469.0]
[2166.0, 969.0]
[2166.0, 469.0]
[2166.0, -30.0]
[2166.0, -530.0]
[2166.0, -1030.0]
[2166.0, -1530.0]
[2166.0, -2030.0]
[2166.0, -2530.0]
[2166.0, -3030.0]
[2166.0, -3530.0]
[2166.0, -4030.0]
[2166.0, -4530.0]
[2166.0, -5030.0]
[2166.0, -5530.0]
[1666.0, -5530.0]
[1666.0, -5030.0]
[1666.0, -4530.0]
[1666.0, -4030.0]
[1666.0, -3530.0]
[1666.0, -3030.0]
[1666.0, -2530.0]
[1666.0, -2030.0]
[1666.0, -1530.0]
[1666.0, -1030.0]
[1666.0, -530.0]
[1666.0, -30.0]
[1666.0, 469.0]
[1666.0, 969.0]
[1666.0, 1469.0]
[1666.0, 1969.0]
[1666.0, 2469.0]
[1666.0, 2969.0]
[1666.0, 3469.0]
[1666.0, 3969.0]
[1666.0, 4469.0]
[1666.0, 4969.0]
[1166.0, 4969.0]
[1166.0, 4469.0]
[1166.0, 3969.0]
[1166.0, 3469.0]
[1166.0, 2969.0]
[1166.0, 2469.0]
[1166.0, 1969.0]
[1166.0, 1469.0]
[1166.0, 969.0]
[1166.0, 469.0]
[1166.0, -30.0]
[1166.0, -530.0]
[1166.0, -1030.0]
[1166.0, -1530.0]
[1166.0, -2030.0]
[666.0, -2030.0]
[666.0, -1530.0]
[666.0, -1030.0]
[666.0, -530.0]
[666.0, -30.0]
[666.0, 469.0]
[666.0, 969.0]
[666.0, 1469.0]
[666.0, 1969.0]
[666.0, 2469.0]
[666.0, 2969.0]
[666.0, 3469.0]
